source_id,title,publisher,date,type,url,reliability,notes,last_verified
SEC_20F_2025,"Agora, Inc. Form 20-F for FY2025",U.S. SEC,2026-04-15,regulatory_filing,https://www.sec.gov/Archives/edgar/data/1802883/000119312526155920/api-20251231.htm,primary_regulatory,Annual report for foreign private issuer; period ended 2025-12-31.,2026-08-28
IR_Q1_2026,"Agora, Inc. Reports First Quarter 2026 Financial Results",Agora Investor Relations,2026-05-26,earnings_release,https://investor.agora.io/news-releases/news-release-details/agora-inc-reports-first-quarter-2026-financial-results/,primary_company,Q1 2026 unaudited results and Agent Studio launch commentary.,2026-08-28
IR_Q2_2026,"Agora, Inc. Reports Second Quarter 2026 Financial Results",Agora Investor Relations,2026-08-13,earnings_release,https://investor.agora.io/news-releases/news-release-details/agora-inc-reports-second-quarter-2026-financial-results,primary_company,Latest quarterly results available at dataset cutoff.,2026-08-28
AGORA_PRODUCTS,Agora Products,Agora,,product_catalog,https://www.agora.io/en/products/,primary_company_marketing,Current product taxonomy.,2026-08-28
AGORA_CONV_AI,Real-Time Conversational AI,Agora,,product_page,https://www.agora.io/en/conversational-ai/,primary_company_marketing,Conversational AI positioning.,2026-08-28
AGORA_AI_SALES,AI Sales & Marketing Agents,Agora,,solution_page,https://www.agora.io/en/solutions/ai-sales-marketing-agents/,primary_company_marketing,Outbound engagement and lead qualification use cases.,2026-08-28
AGORA_AI_CS,AI Customer Service Agents,Agora,,solution_page,https://www.agora.io/en/solutions/ai-customer-service-agents/,primary_company_marketing,Customer service agent positioning.,2026-08-28
AGORA_DEVICE_KIT,Agora Convo AI Device Kit,Agora,,product_page,https://www.agora.io/en/products/convoai-device-kit/,primary_company_marketing,Conversational AI for IoT / connected devices.,2026-08-28
KR_HANYANG_2026,Agora Powers Real-Time AI Translation for Hanyang University’s China MBA Program in Korea,Agora Korea,2026-04-24,korea_customer_release,https://www.agora.io/kr/news/agora-powers-real-time-ai-translation-for-hanyang-universitys-china-mba-program-in-korea/,primary_company,Korea deployment: real-time AI translation.,2026-08-28
KR_SMARTTECH_2026,Agora Unveils Next-Generation AI Agent-Based Telephone Survey Solution at Smart Tech Korea,Agora Korea,2026-06-17,korea_product_release,https://www.agora.io/kr/news/agora-unveils-next-generation-ai-agent-based-telephone-survey-solution-at-smart-tech-korea/,primary_company,Korea Voice AI telephone survey solution.,2026-08-28
KR_XOSOFT_2025,XOsoft and Agora strategic MOU for AIoT conversational services,Agora Korea,2025-12-01,korea_partnership_release,https://prod.agora.io/kr/news/egseuosopeuteu-naseudag-sangjangsa-agorawa-aiot-giban-daehwahyeong-seobiseu-mou-cegyeol-geulrobeol-ai-sijang-gongryag-gasog,primary_company,MOU/joint-development; not a completed ROI case.,2026-08-28
KR_SOMA,Soma Success Story,Agora,,korea_customer_case,https://prod.agora.io/kr/success-stories/soma,primary_company_case,Korean virtual office / Unity RTC case.,2026-08-28
CASE_SALESROOM,Salesroom Success Story,Agora,,customer_case,https://www.agora.io/kr/success-stories/salesroom/,primary_company_case,AI sales meeting platform.,2026-08-28
CASE_ENGLISHCENTRAL,EnglishCentral Success Story,Agora,,customer_case,https://www.agora.io/kr/success-stories/englishcentral/,primary_company_case,Education/live tutoring.,2026-08-28
CASE_KRIYAM,Kriyam Success Story,Agora,,customer_case,https://prod.agora.io/en/success-stories/kriyam,primary_company_case,BFSI video verification.,2026-08-28
CASE_MIKO,Miko Success Story,Agora,,customer_case,https://www.agora.io/kr/success-stories/miko/,primary_company_case,IoT/robot video and signaling.,2026-08-28
